IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.249.52,4,4,0.00,231.85,0.00
170.114.52.165,4,4,0.00,231.87,0.00
104.19.68.194,4,4,0.00,231.92,0.00
104.17.27.225,4,4,0.00,231.94,0.00
104.24.201.241,4,4,0.00,232.01,0.00
104.16.254.193,4,4,0.00,232.02,0.00
104.16.175.171,4,4,0.00,232.03,0.00
104.18.25.155,4,4,0.00,232.08,0.00
104.17.223.151,4,4,0.00,232.09,0.00
104.20.239.64,4,4,0.00,232.09,0.00
104.18.197.229,4,4,0.00,232.09,0.00
104.17.202.28,4,4,0.00,232.09,0.00
104.24.66.194,4,4,0.00,232.11,0.00
104.17.198.133,4,4,0.00,232.14,0.00
104.17.224.107,4,4,0.00,232.21,0.00
104.17.250.11,4,4,0.00,232.25,0.00
104.16.86.77,4,4,0.00,232.29,0.00
104.25.211.123,4,4,0.00,232.30,0.00
104.16.253.97,4,4,0.00,232.30,0.00
104.17.43.170,4,4,0.00,232.34,0.00
104.16.244.110,4,4,0.00,232.41,0.00
104.16.40.181,4,4,0.00,232.43,0.00
199.60.103.110,4,4,0.00,232.46,0.00
104.16.34.69,4,4,0.00,232.47,0.00
104.24.137.244,4,4,0.00,232.52,0.00
104.16.131.196,4,4,0.00,232.58,0.00
172.66.166.39,4,4,0.00,232.60,0.00
104.18.201.30,4,4,0.00,232.63,0.00
104.16.132.89,4,4,0.00,232.63,0.00
104.24.173.15,4,4,0.00,232.65,0.00
104.16.64.208,4,4,0.00,232.65,0.00
104.20.222.201,4,4,0.00,232.65,0.00
104.17.18.188,4,4,0.00,232.67,0.00
104.16.68.65,4,4,0.00,232.83,0.00
104.21.19.96,4,4,0.00,232.86,0.00
104.24.199.114,4,4,0.00,232.89,0.00
104.23.98.174,4,4,0.00,233.03,0.00
104.18.106.105,4,4,0.00,233.06,0.00
104.24.212.200,4,4,0.00,233.09,0.00
104.17.227.222,4,4,0.00,233.09,0.00
104.25.30.113,4,4,0.00,233.11,0.00
104.16.143.87,4,4,0.00,233.15,0.00
104.16.178.30,4,4,0.00,233.17,0.00
104.17.190.173,4,4,0.00,233.23,0.00
104.24.85.148,4,4,0.00,233.23,0.00
104.16.135.24,4,4,0.00,233.25,0.00
104.25.43.35,4,4,0.00,233.48,0.00
104.22.8.93,4,4,0.00,233.53,0.00
104.25.37.64,4,4,0.00,233.54,0.00
104.16.154.130,4,4,0.00,233.57,0.00
104.17.214.200,4,4,0.00,233.57,0.00
104.17.162.12,4,4,0.00,233.60,0.00
104.18.180.143,4,4,0.00,233.64,0.00
104.22.22.80,4,4,0.00,233.64,0.00
198.41.206.79,4,4,0.00,233.69,0.00
104.25.204.217,4,4,0.00,233.70,0.00
147.78.121.252,4,4,0.00,233.70,0.00
162.159.43.56,4,4,0.00,233.72,0.00
172.67.83.185,4,4,0.00,233.72,0.00
104.27.31.234,4,4,0.00,233.80,0.00
146.19.22.225,4,4,0.00,233.80,0.00
104.18.17.84,4,4,0.00,233.82,0.00
104.17.209.50,4,4,0.00,233.83,0.00
104.19.152.157,4,4,0.00,233.85,0.00
104.22.7.67,4,4,0.00,233.88,0.00
104.17.89.120,4,4,0.00,233.88,0.00
104.16.205.244,4,4,0.00,233.89,0.00
104.17.196.122,4,4,0.00,233.92,0.00
104.16.215.134,4,4,0.00,233.93,0.00
104.19.218.112,4,4,0.00,233.93,0.00
162.159.243.34,4,4,0.00,233.94,0.00
104.18.186.175,4,4,0.00,233.94,0.00
104.18.71.245,4,4,0.00,233.94,0.00
104.17.195.61,4,4,0.00,233.97,0.00
104.19.114.222,4,4,0.00,234.02,0.00
104.16.117.142,4,4,0.00,234.04,0.00
104.24.86.179,4,4,0.00,234.04,0.00
203.24.102.216,4,4,0.00,234.05,0.00
172.65.142.99,4,4,0.00,234.08,0.00
172.65.113.180,4,4,0.00,234.09,0.00
104.17.177.240,4,4,0.00,234.26,0.00
162.159.251.105,4,4,0.00,234.27,0.00
104.17.12.49,4,4,0.00,234.30,0.00
104.24.57.94,4,4,0.00,234.33,0.00
104.18.194.104,4,4,0.00,234.39,0.00
104.25.56.228,4,4,0.00,234.39,0.00
104.17.225.91,4,4,0.00,234.43,0.00
104.17.197.56,4,4,0.00,234.46,0.00
104.19.244.98,4,4,0.00,234.47,0.00
104.17.30.89,4,4,0.00,234.47,0.00
162.159.238.15,4,4,0.00,234.48,0.00
172.66.164.146,4,4,0.00,234.48,0.00
104.16.31.243,4,4,0.00,234.54,0.00
104.27.64.18,4,4,0.00,234.56,0.00
104.24.240.69,4,4,0.00,234.57,0.00
104.20.241.41,4,4,0.00,234.68,0.00
104.16.251.94,4,4,0.00,234.69,0.00
104.16.247.199,4,4,0.00,234.70,0.00
104.17.129.48,4,4,0.00,234.71,0.00
172.66.173.159,4,4,0.00,234.74,0.00
104.16.184.227,4,4,0.00,234.74,0.00
104.16.121.134,4,4,0.00,234.76,0.00
104.17.186.91,4,4,0.00,234.76,0.00
104.25.238.22,4,4,0.00,234.77,0.00
104.24.20.148,4,4,0.00,234.78,0.00
203.30.189.147,4,4,0.00,234.79,0.00
104.19.174.123,4,4,0.00,234.83,0.00
104.16.228.70,4,4,0.00,234.84,0.00
104.23.104.91,4,4,0.00,234.86,0.00
104.19.32.241,4,4,0.00,234.89,0.00
216.120.180.181,4,4,0.00,234.91,0.00
104.25.103.145,4,4,0.00,234.92,0.00
